"lp","wojewodztwo","woj","WOJ2","powiat","pow","POW2","gmina","gmi","GMI","TERYT","miasto","lok","ubiegal","operator","odpowiedz","termininw","innaodp","data"
53394,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-26 12:41"
53395,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-26 12:42"
53396,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-26 12:42"
53397,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-26 12:42"
53398,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-26 12:42"
53399,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-26 12:43"
53400,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-26 12:43"
53401,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-26 12:43"
53402,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-26 12:44"
53403,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-26 12:44"
53404,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-26 12:46"
53405,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-26 12:46"
53406,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-26 12:46"
53407,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-26 12:47"
53408,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-26 12:47"
53409,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-26 12:49"
53410,"WIELKOPOLSKIE",30,30,"rawicki",22,22,"Pakosław (gmina wiejska)",4,"04","302204","Golejewko",,1,2,1,0,,"2015-11-27 10:46"
53411,"KUJAWSKO-POMORSKIE",4,"04","aleksandrowski",1,"01","Bšdkowo (gmina wiejska)",5,"05","040105","Łówkowice",,1,4,1,0,,"2015-11-27 12:49"
53412,"KUJAWSKO-POMORSKIE",4,"04","aleksandrowski",1,"01","Bšdkowo (gmina wiejska)",5,"05","040105","Łówkowice",,1,3,1,0,,"2015-11-28 12:14"
53413,"LĽSKIE",24,24,"żywiecki",17,17,"Żywiec (gmina miejska)",1,"01","241701","Żywiec","Browarna",1,2,1,0,,"2015-11-29 10:10"
53414,"LUBELSKIE",6,"06","lubelski",9,"09","Krzczonów (gmina wiejska)",9,"09","060909","Krzczonów",,1,10,1,0,,"2015-11-29 21:58"
53415,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-30 10:56"
53416,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-30 10:56"
53417,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-30 10:56"
53418,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-30 10:57"
53419,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-30 10:57"
53420,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-30 10:57"
53421,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-30 10:58"
53422,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-30 10:58"
53423,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-30 10:58"
53424,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-11-30 10:58"
53425,"WIELKOPOLSKIE",30,30,"rawicki",22,22,"Rawicz (gmina miejsko-wiejska)",5,"05","302205","Żołędnica",,1,2,1,0,,"2015-11-30 14:49"
53426,"ZACHODNIOPOMORSKIE",32,32,"kamieński",7,"07","Międzyzdroje (gmina miejsko-wiejska)",4,"04","320704","72-500 Międzyzdroje","Norwida",1,1,1,0,,"2015-11-30 22:03"
53427,"DOLNOLĽSKIE",2,"02","górowski",4,"04","Wšsosz (gmina miejsko-wiejska)",4,"04","020404","ługi",,1,3,1,0,,"2015-12-01 09:17"
53428,"DOLNOLĽSKIE",2,"02","górowski",4,"04","Niechlów (gmina wiejska)",3,"03","020403","Niechlów","Głogowska 25",1,4,1,0,,"2015-12-01 09:39"
53429,"DOLNOLĽSKIE",2,"02","górowski",4,"04","Niechlów (gmina wiejska)",3,"03","020403","Masełkowice",,1,2,1,0,,"2015-12-01 09:53"
53430,"DOLNOLĽSKIE",2,"02","górowski",4,"04","Góra (gmina miejsko-wiejska)",1,"01","020401","osetno",,1,2,1,0,,"2015-12-01 10:36"
53431,"WIĘTOKRZYSKIE",26,26,"buski",1,"01","Wilica (gmina wiejska)",8,"08","260108","Wawrowice",,1,2,1,0,,"2015-12-01 12:08"
53432,"DOLNOLĽSKIE",2,"02","górowski",4,"04","Góra (gmina miejsko-wiejska)",1,"01","020401","Czernina górna",,1,2,1,0,,"2015-12-01 13:07"
53433,"WIELKOPOLSKIE",30,30,"rawicki",22,22,"Miejska Górka (gmina miejsko-wiejska)",3,"03","302203","Słupia Kapitulna",,1,2,1,0,,"2015-12-01 13:30"
53434,"WIELKOPOLSKIE",30,30,"leszczyński",13,13,"Rydzyna (gmina miejsko-wiejska)",4,"04","301304","Jabłonna",,1,2,1,0,,"2015-12-01 13:36"
53435,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-01 13:36"
53436,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-01 13:36"
53437,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-01 13:37"
53438,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-01 13:37"
53439,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-01 13:37"
53440,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-01 13:37"
53441,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-01 13:38"
53442,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-01 13:38"
53443,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-01 13:38"
53444,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-01 13:39"
53445,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-01 13:46"
53446,"WIELKOPOLSKIE",30,30,"rawicki",22,22,"Rawicz (gmina miejsko-wiejska)",5,"05","302205","Dębno Polskie","Wrocławska",1,2,1,0,,"2015-12-01 15:28"
53447,"MAZOWIECKIE",14,14,"makowski",11,11,"Czerwonka (gmina wiejska)",2,"02","141102","Tłuszcz ",,1,1,1,0,,"2015-12-01 18:27"
53448,"MAZOWIECKIE",14,14,"makowski",11,11,"Czerwonka (gmina wiejska)",2,"02","141102","Tłuszcz ",,1,1,1,0,,"2015-12-01 18:31"
53449,"DOLNOLĽSKIE",2,"02","górowski",4,"04","Jemielno (gmina wiejska)",2,"02","020402","Jemielno",,1,3,1,0,,"2015-12-02 08:12"
53450,"DOLNOLĽSKIE",2,"02","górowski",4,"04","Jemielno (gmina wiejska)",2,"02","020402","Zdziesławice",,1,2,1,0,,"2015-12-02 08:15"
53451,"DOLNOLĽSKIE",2,"02","wołowski",22,22,"Wińsko (gmina wiejska)",2,"02","022202","Wińsko","Rawicka",1,3,1,0,,"2015-12-02 09:25"
53452,"MAZOWIECKIE",14,14,"piaseczyński",18,18,"Konstancin-Jeziorna (gmina miejsko-wiejska)",2,"02","141802","Kawęczynek-Borowina","Zalena",1,2,2,4,,"2015-12-02 12:37"
53453,"WIELKOPOLSKIE",30,30,"rawicki",22,22,"Miejska Górka (gmina miejsko-wiejska)",3,"03","302203","Miejska Górka","Wierzbowa",1,3,1,0,,"2015-12-02 14:25"
53454,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-02 14:41"
53455,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-02 14:42"
53456,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-02 14:42"
53457,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-02 14:42"
53458,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-02 15:02"
53459,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-02 15:02"
53460,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-02 15:02"
53461,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-02 15:03"
53462,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-02 15:03"
53463,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-02 15:03"
53464,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-02 15:04"
53465,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-02 15:04"
53466,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-02 15:05"
53467,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-02 15:05"
53468,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-02 15:06"
53469,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-02 15:06"
53470,"POMORSKIE",22,22,"Gdańsk",61,61,"Gdańsk (gmina miejska)",1,"01","226101","Gdańsk","Azaliowa",1,1,1,0,,"2015-12-03 00:02"
53471,"KUJAWSKO-POMORSKIE",4,"04","aleksandrowski",1,"01","Bšdkowo (gmina wiejska)",5,"05","040105","Łówkowice",,1,4,1,0,,"2015-12-03 10:07"
53472,"WIELKOPOLSKIE",30,30,"rawicki",22,22,"Rawicz (gmina miejsko-wiejska)",5,"05","302205","Rawicz","Grunwaldzka",1,3,1,0,,"2015-12-03 14:16"
53473,"WIELKOPOLSKIE",30,30,"rawicki",22,22,"Rawicz (gmina miejsko-wiejska)",5,"05","302205","Dębno Polskie","Chłopska",1,2,1,0,,"2015-12-03 14:17"
53474,"WIELKOPOLSKIE",30,30,"rawicki",22,22,"Miejska Górka (gmina miejsko-wiejska)",3,"03","302203","Karolinki","Rolnicza",1,3,1,0,,"2015-12-03 14:19"
53475,"WIELKOPOLSKIE",30,30,"rawicki",22,22,"Rawicz (gmina miejsko-wiejska)",5,"05","302205","Izbice",,1,3,1,0,,"2015-12-03 14:20"
53476,"DOLNOLĽSKIE",2,"02","górowski",4,"04","Góra (gmina miejsko-wiejska)",1,"01","020401","Grabowno",,1,3,1,0,,"2015-12-03 14:24"
53477,"DOLNOLĽSKIE",2,"02","wałbrzyski",21,21,"Stare Bogaczowice (gmina wiejska)",7,"07","022107","Jabłów","Główna",1,5,1,0,,"2015-12-03 14:35"
53478,"DOLNOLĽSKIE",2,"02","górowski",4,"04","Wšsosz (gmina miejsko-wiejska)",4,"04","020404","Wšsosz","Kolejowa ",1,1,1,0,,"2015-12-03 15:12"
53479,"DOLNOLĽSKIE",2,"02","wołowski",22,22,"Wińsko (gmina wiejska)",2,"02","022202","Rajczyn",,1,2,1,0,,"2015-12-03 15:14"
53480,"WIELKOPOLSKIE",30,30,"rawicki",22,22,"Rawicz (gmina miejsko-wiejska)",5,"05","302205","Zielona Wie",,1,3,1,0,,"2015-12-04 11:24"
53481,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:47"
53482,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:48"
53483,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:48"
53484,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:48"
53485,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:48"
53486,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:49"
53487,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:49"
53488,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:49"
53489,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:49"
53490,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:50"
53491,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:50"
53492,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:51"
53493,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:51"
53494,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:51"
53495,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:51"
53496,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:52"
53497,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:52"
53498,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:53"
53499,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:53"
53500,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:53"
53501,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:53"
53502,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:54"
53503,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:54"
53504,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:54"
53505,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:55"
53506,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:55"
53507,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:55"
53508,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:55"
53509,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:56"
53510,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:56"
53511,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:56"
53512,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:56"
53513,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:57"
53514,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:57"
53515,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:57"
53516,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:58"
53517,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:58"
53518,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:58"
53519,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:58"
53520,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:59"
53521,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:59"
53522,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:59"
53523,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 12:59"
53524,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 13:00"
53525,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 13:01"
53526,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 13:01"
53527,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 13:01"
53528,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 13:02"
53529,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 13:03"
53530,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 13:03"
53531,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 13:03"
53532,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 13:04"
53533,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 13:04"
53534,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 13:04"
53535,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 13:05"
53536,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 13:05"
53537,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 13:05"
53538,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 13:05"
53539,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 13:06"
53540,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 13:06"
53541,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 13:07"
53542,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 13:07"
53543,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 13:07"
53544,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2015-12-04 13:07"
